date,time,Ax,Ay,Az,Gx,Gy,Gz
2025-02-07,14:17:24.50,0.16,-0.30,-0.96,1.71,0.85,0.37
2025-02-07,14:17:25.00,0.16,-0.26,-0.95,2.20,0.24,-1.04
2025-02-07,14:17:25.50,0.16,-0.25,-0.93,2.69,1.10,-1.53
2025-02-07,14:17:26.00,0.19,-0.24,-0.92,-3.60,14.16,-9.83
2025-02-07,14:17:26.50,4.00,-0.85,1.50,-200.01,-1047.91,-561.16
2025-02-07,14:17:27.00,0.40,-0.21,-0.52,9.34,-14.40,279.85
2025-02-07,14:17:27.50,0.27,-0.48,-0.90,0.24,27.77,7.51
2025-02-07,14:17:28.00,0.26,-0.46,-0.84,1.71,1.77,0.31
2025-02-07,14:17:28.50,0.24,-0.50,-0.84,-0.49,-2.50,-0.73
2025-02-07,14:17:29.00,0.24,-0.50,-0.85,1.59,-3.97,1.34
2025-02-07,14:17:29.50,0.24,-0.44,-0.84,2.32,-1.46,-2.69
2025-02-07,14:17:30.00,0.33,-0.73,-0.77,36.62,40.59,51.70
2025-02-07,14:17:30.50,-0.20,-0.93,-1.00,-68.05,-156.25,103.33
2025-02-07,14:17:31.00,-0.71,0.76,0.40,-64.33,-26.37,112.43
2025-02-07,14:17:31.50,-0.56,0.43,0.64,-90.39,-29.85,-63.05
2025-02-07,14:17:32.00,0.96,-0.74,0.94,-184.14,-254.70,-277.65
2025-02-07,14:17:32.50,-0.34,-0.12,0.70,3.48,11.47,103.88
2025-02-07,14:17:33.00,0.23,0.03,0.94,-26.12,-101.75,-67.50
2025-02-07,14:17:33.50,0.35,0.16,0.84,32.10,-4.09,-48.83
2025-02-07,14:17:34.00,0.50,0.45,0.81,4.27,0.06,-3.72
2025-02-07,14:17:34.50,0.48,0.41,0.79,-11.60,-21.00,30.40
2025-02-07,14:17:35.00,0.56,0.24,0.74,-13.73,-26.49,29.11
2025-02-07,14:17:35.50,0.79,0.07,0.67,-32.10,-13.06,-20.94
2025-02-07,14:17:36.00,0.77,0.07,0.65,0.06,-4.46,8.79
2025-02-07,14:17:36.50,0.78,0.04,0.62,-4.52,-4.39,2.32
2025-02-07,14:17:37.00,0.81,-0.00,0.60,-5.00,-2.50,-1.65
2025-02-07,14:17:37.50,0.80,-0.06,0.59,-12.27,-7.39,18.01
2025-02-07,14:17:38.00,1.07,-0.36,0.48,38.33,-52.12,110.35
2025-02-07,14:17:38.50,2.28,-0.82,0.55,189.82,-147.77,202.27
2025-02-07,14:17:39.00,1.85,0.32,-0.67,1387.76,515.56,-373.60
2025-02-07,14:17:39.50,0.79,0.21,0.81,55.73,64.88,72.94
2025-02-07,14:17:40.00,0.59,-0.05,0.62,45.78,-55.79,40.71
2025-02-07,14:17:40.50,0.85,0.12,0.72,8.54,69.95,-41.69
2025-02-07,14:17:41.00,0.68,0.36,0.72,60.49,25.51,48.16
2025-02-07,14:17:41.50,0.64,0.37,0.61,-6.10,-14.77,34.18
2025-02-07,14:17:42.00,0.59,0.13,0.60,-20.63,-4.15,31.01
2025-02-07,14:17:42.50,0.66,-0.11,0.60,-9.64,-10.44,-59.75
2025-02-07,14:17:43.00,0.46,0.29,0.82,45.47,101.93,-165.53
2025-02-07,14:17:43.50,0.49,0.78,0.84,30.40,-41.56,9.28
2025-02-07,14:17:44.00,0.33,1.13,0.42,231.87,92.22,-143.68
2025-02-07,14:17:44.50,2.17,-0.76,-0.59,-111.51,366.76,-201.60
2025-02-07,14:17:45.00,0.91,-0.69,-0.30,-11.72,105.47,-103.58
2025-02-07,14:17:45.50,0.96,-0.32,-0.21,-2.20,55.97,-33.20
2025-02-07,14:17:46.00,1.04,-0.33,-0.24,-19.90,-1.95,13.43
2025-02-07,14:17:46.50,0.72,-0.33,-0.25,-4.88,3.42,29.30
2025-02-07,14:17:47.00,0.93,-0.30,-0.28,-2.69,-1.65,1.71
2025-02-07,14:17:47.50,0.97,-0.11,-0.16,8.12,3.66,-18.80
2025-02-07,14:17:48.00,0.98,-0.04,-0.14,-8.06,2.20,-19.35
2025-02-07,14:17:48.50,0.98,0.02,-0.11,-0.12,-16.72,-13.31
2025-02-07,14:17:49.00,0.98,0.03,-0.12,-1.77,-11.72,-5.00
2025-02-07,14:17:49.50,1.00,0.04,-0.10,-4.03,6.29,-6.90
2025-02-07,14:17:50.00,1.02,0.04,-0.11,0.67,5.43,-3.48
2025-02-07,14:17:50.50,0.99,0.03,-0.11,1.46,1.53,4.76
