,id,room_id/id,temp,out/in,date,time
148,__export__.temp_log_195775_4b268ee4,Room Admin,29,1,2018-12-08,07:44:00
149,__export__.temp_log_195771_5e45289d,Room Admin,29,1,2018-12-08,07:41:00
150,__export__.temp_log_195757_f68963a1,Room Admin,29,1,2018-12-08,07:34:00
151,__export__.temp_log_195755_49c6143b,Room Admin,29,1,2018-12-08,07:33:00
152,__export__.temp_log_195754_a4798307,Room Admin,29,1,2018-12-08,07:31:00
153,__export__.temp_log_195753_d577e2a7,Room Admin,29,1,2018-12-08,07:30:00
154,__export__.temp_log_195747_0e2463c8,Room Admin,29,1,2018-12-08,07:28:00
155,__export__.temp_log_195748_ef018a38,Room Admin,29,1,2018-12-08,07:27:00
156,__export__.temp_log_195746_2bf6f84c,Room Admin,39,0,2018-12-08,07:27:00
157,__export__.temp_log_195743_3490989d,Room Admin,29,1,2018-12-08,07:25:00
158,__export__.temp_log_195741_1ee117ce,Room Admin,29,1,2018-12-08,07:22:00
159,__export__.temp_log_195737_9b7cf031,Room Admin,29,1,2018-12-08,07:18:00
160,__export__.temp_log_195735_db7981b8,Room Admin,29,1,2018-12-08,07:17:00
161,__export__.temp_log_195734_4f2562c2,Room Admin,39,0,2018-12-08,07:17:00
162,__export__.temp_log_195730_7a1e694e,Room Admin,38,0,2018-12-08,07:15:00
163,__export__.temp_log_195721_7eaf3460,Room Admin,39,0,2018-12-08,07:08:00
164,__export__.temp_log_195720_6d45515d,Room Admin,29,1,2018-12-08,07:06:00
165,__export__.temp_log_195719_49a74545,Room Admin,40,0,2018-12-08,07:06:00
166,__export__.temp_log_195718_71c2dad3,Room Admin,29,1,2018-12-08,07:03:00
167,__export__.temp_log_195712_33302c75,Room Admin,29,1,2018-12-08,06:57:00
168,__export__.temp_log_195710_02625a80,Room Admin,39,0,2018-12-08,06:57:00
169,__export__.temp_log_195705_d12a0132,Room Admin,39,0,2018-12-08,06:56:00
170,__export__.temp_log_195699_ae35986e,Room Admin,29,1,2018-12-08,06:53:00
171,__export__.temp_log_195700_9f91987a,Room Admin,29,1,2018-12-08,06:53:00
172,__export__.temp_log_195696_ab5dac1e,Room Admin,29,1,2018-12-08,06:52:00
173,__export__.temp_log_195695_ad7c7502,Room Admin,39,0,2018-12-08,06:52:00
174,__export__.temp_log_195689_2122bb37,Room Admin,29,1,2018-12-08,06:51:00
175,__export__.temp_log_195691_e741f787,Room Admin,39,0,2018-12-08,06:51:00
176,__export__.temp_log_195681_bd6505a1,Room Admin,29,1,2018-12-08,06:50:00
177,__export__.temp_log_195676_e12ff8ac,Room Admin,39,0,2018-12-08,06:47:00
178,__export__.temp_log_195675_881ee565,Room Admin,29,1,2018-12-08,06:47:00
179,__export__.temp_log_195671_e74cdb3b,Room Admin,39,0,2018-12-08,06:44:00
180,__export__.temp_log_195666_5cdf88fa,Room Admin,39,0,2018-12-08,06:43:00
181,__export__.temp_log_195664_5c6077e7,Room Admin,29,1,2018-12-08,06:42:00
182,__export__.temp_log_195662_0427381e,Room Admin,29,1,2018-12-08,06:41:00
183,__export__.temp_log_195658_8fc4ba31,Room Admin,29,1,2018-12-08,06:39:00
184,__export__.temp_log_195657_ce71fe88,Room Admin,29,1,2018-12-08,06:39:00
185,__export__.temp_log_195653_c4fb531f,Room Admin,29,1,2018-12-08,06:37:00
186,__export__.temp_log_195654_646ef3ee,Room Admin,29,1,2018-12-08,06:37:00
187,__export__.temp_log_195641_5f06db35,Room Admin,29,1,2018-12-08,06:35:00
188,__export__.temp_log_195638_3041af8f,Room Admin,29,1,2018-12-08,06:33:00
189,__export__.temp_log_195631_0521288e,Room Admin,39,0,2018-12-08,06:32:00
